name,lastName,phone1,phone,email
James,Butt,504-621-8927,504-845-1427,jbutt@gmail.com
Josephine,Darakjy,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org
Art,Venere,856-636-8749,856-264-4130,art@venere.org
Lenna,Paprocki,907-385-4412,907-921-2010,lpaprocki@hotmail.com
Donette,Foller,513-570-1893,513-549-4561,donette.foller@cox.net
Simona,Morasca,419-503-2484,419-800-6759,simona@morasca.com
Mitsue,Tollner,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com
Leota,Dilliard,408-752-3500,408-813-1105,leota@hotmail.com
Sage,Wieser,605-414-2147,605-794-4895,sage_wieser@cox.net
Kris,Marrier,410-655-8723,410-804-4694,kris@gmail.com
Minna,Amigon,215-874-1229,215-422-8694,minna_amigon@yahoo.com
Abel,Maclead,631-335-3414,631-677-3675,amaclead@gmail.com
Kiley,Caldarera,310-498-5651,310-254-3084,kiley.caldarera@aol.com
Graciela,Ruta,440-780-8425,440-579-7763,gruta@cox.net
Cammy,Albares,956-537-6195,956-841-7216,calbares@gmail.com
Mattie,Poquette,602-277-4385,602-953-6360,mattie@aol.com
Meaghan,Garufi,931-313-9635,931-235-7959,meaghan@hotmail.com
Gladys,Rim,414-661-9598,414-377-2880,gladys.rim@rim.org
Yuki,Whobrey,313-288-7937,313-341-4470,yuki_whobrey@aol.com
Fletcher,Flosi,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com
Bette,Nicka,610-545-3615,610-492-4643,bette_nicka@cox.net
Veronika,Inouye,408-540-1785,408-813-4592,vinouye@aol.com
Willard,Kolmetz,972-303-9197,972-896-4882,willard@hotmail.com
Maryann,Royster,518-966-7987,518-448-8982,mroyster@royster.com
Alisha,Slusarski,732-658-3154,732-635-3453,alisha@slusarski.com
Allene,Iturbide,715-662-6764,715-530-9863,allene_iturbide@cox.net
Chanel,Caudy,913-388-2079,913-899-1103,chanel.caudy@caudy.org
Ezekiel,Chui,410-669-1642,410-235-8738,ezekiel@chui.com
Willow,Kusko,212-582-4976,212-934-5167,wkusko@yahoo.com
